Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
classic-cotton-t-shirt,Classic Cotton T-Shirt,"<p>An everyday crew-neck tee in soft, breathable cotton.</p><ul><li><strong>Material:</strong> 100% combed cotton</li><li><strong>Care:</strong> Machine wash cold, tumble dry low.</li><li><strong>Fit:</strong> True to size</li></ul>",Acme Threads,T-Shirt,"T-Shirt, White, Black, Navy, demo, Acme Threads",TRUE,Size,S,Color,White,Fit,Regular,CLASSICCO-S-WHI-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,"https://loremflickr.com/1200/1200/tshirt,clothing?lock=1",1,Classic Cotton T-Shirt - T-Shirt,active
classic-cotton-t-shirt,,,,,,,Size,S,Color,White,Fit,Slim,CLASSICCO-S-WHI-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,M,Color,White,Fit,Regular,CLASSICCO-M-WHI-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,M,Color,White,Fit,Slim,CLASSICCO-M-WHI-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,L,Color,White,Fit,Regular,CLASSICCO-L-WHI-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,L,Color,White,Fit,Slim,CLASSICCO-L-WHI-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,XL,Color,White,Fit,Regular,CLASSICCO-XL-WHI-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,XL,Color,White,Fit,Slim,CLASSICCO-XL-WHI-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,S,Color,Black,Fit,Regular,CLASSICCO-S-BLA-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,S,Color,Black,Fit,Slim,CLASSICCO-S-BLA-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,M,Color,Black,Fit,Regular,CLASSICCO-M-BLA-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,M,Color,Black,Fit,Slim,CLASSICCO-M-BLA-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,L,Color,Black,Fit,Regular,CLASSICCO-L-BLA-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,L,Color,Black,Fit,Slim,CLASSICCO-L-BLA-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,XL,Color,Black,Fit,Regular,CLASSICCO-XL-BLA-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,XL,Color,Black,Fit,Slim,CLASSICCO-XL-BLA-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,S,Color,Navy,Fit,Regular,CLASSICCO-S-NAV-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,S,Color,Navy,Fit,Slim,CLASSICCO-S-NAV-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,M,Color,Navy,Fit,Regular,CLASSICCO-M-NAV-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,M,Color,Navy,Fit,Slim,CLASSICCO-M-NAV-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,L,Color,Navy,Fit,Regular,CLASSICCO-L-NAV-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,L,Color,Navy,Fit,Slim,CLASSICCO-L-NAV-S,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
classic-cotton-t-shirt,,,,,,,Size,XL,Color,Navy,Fit,Regular,CLASSICCO-XL-NAV-R,shopify,25,deny,manual,24.99,32.00,TRUE,TRUE,,,,
